stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0003,0003,ID:0003 BROWARD B/SE 3 A,,26.122183,-80.140732,,,0,
0004,0004,ID:0004 SE 3 A/SE 7 S,,26.112833,-80.140251,,,0,
0005,0005,ID:0005 SE 3 A/SE 9 S,,26.111050,-80.140236,,,0,
0006,0006,ID:0006 SE 3 A/SE 11 S,,26.109362,-80.140175,,,0,
0007,0007,ID:0007 SE 3 A/DAVIE B (S),,26.106567,-80.140114,,,0,
0008,0008,ID:0008 SE 3 A/SE 14 S,,26.104401,-80.140038,,,0,
0009,0009,ID:0009 SE 3 A/SE 16 S - (BROWARD HEALTH MED CTR),,26.102516,-80.139954,,,0,
0010,0010,ID:0010 SE 17 S/SE 3 A,,26.100819,-80.139397,,,0,
0011,0011,ID:0011 SE 17 S/US1 (W),,26.100132,-80.137352,,,0,
0012,0012,ID:0012 US1/SE 21 S,,26.095415,-80.136780,,,0,
0013,0013,ID:0013 US1/SE 26 S,,26.090765,-80.136635,,,0,
0014,0014,ID:0014 US1/OLD GRIFFIN RD,,26.058975,-80.143959,,,0,
0015,0015,ID:0015 US1/NW 3 S,,26.057468,-80.143883,,,0,
0016,0016,ID:0016 US1/NW 2 S,,26.056009,-80.143883,,,0,
0017,0017,ID:0017 US1/DANIA BEACH B,,26.051678,-80.143753,,,0,
0018,0018,ID:0018 US1/SW 1 S,,26.050184,-80.143707,,,0,
0019,0019,ID:0019 US1/STIRLING RD,,26.048414,-80.143654,,,0,
0020,0020,ID:0020 US1/SW 3 S,,26.046915,-80.143616,,,0,
0021,0021,ID:0021 US1/SW 3 P,,26.044495,-80.143547,,,0,
0022,0022,ID:0022 US1/DIXIE H,,26.041290,-80.143471,,,0,
0023,0023,ID:0023 US1/SW 10 S,,26.039543,-80.143456,,,0,
0024,0024,ID:0024 US1/SW 11 S,,26.037991,-80.143478,,,0,
0025,0025,ID:0025 US1/SW 14 S,,26.035650,-80.143463,,,0,
0026,0026,ID:0026 US1/SHERIDAN S,,26.033054,-80.143417,,,0,
0027,0027,ID:0027 US1/SCOTT S,,26.029766,-80.143402,,,0,
0028,0028,ID:0028 US1/HARDING S,,26.028332,-80.143364,,,0,
0029,0029,ID:0029 US1/TAFT S,,26.026022,-80.143402,,,0,
0030,0030,ID:0030 US1/ARTHUR S,,26.022467,-80.143379,,,0,
0031,0031,ID:0031 US1/JOHNSON S,,26.018684,-80.143349,,,0,
0032,0032,ID:0032 US1/PIERCE S,,26.015955,-80.143311,,,0,
0033,0033,ID:0033 US1/POLK S,,26.013565,-80.143196,,,0,
0034,0034,ID:0034 YOUNG CIRCLE,,26.011913,-80.141632,,,0,
0035,0035,ID:0035 US1/VAN BUREN S,,26.009182,-80.143074,,,0,
0036,0036,ID:0036 US1/MONROE S,,26.007666,-80.143036,,,0,
0037,0037,ID:0037 NW 7 A/BROWARD B,,26.122429,-80.150429,,,0,
0038,0038,ID:0038 US1/WASHINGTON S,,26.004019,-80.142937,,,0,
0039,0039,ID:0039 US1/FUNSTON S,,26.002001,-80.142868,,,0,
0040,0040,ID:0040 US1/PLUNKET S,,26.000252,-80.142830,,,0,
0041,0041,ID:0041 US1/FLETCHER S,,25.998016,-80.142784,,,0,
0042,0042,ID:0042 US1/PEMBROKE R,,25.996317,-80.142815,,,0,
